ID_заказа,ID_исполнителя,тип_работы,город,продолжительность_заказа,расстояние_от_центра,рейтинг_исполнителя,возраст_исполнителя,опыт_работы,наличие_бонусов,историческая_средняя_зарплата,уровень_безработицы,день_недели,время_суток,сезон,вышел_на_смену
14,459,штукатурка,Новосибирск,3,17.61345247473991,4.048886508679464,20,25,0,4386.3692187392335,9.387503251827516,7,0,3,1
15,88,уборка,Новосибирск,7,24.725186371726615,1.1830698126010772,28,39,1,3263.323020439121,0.652161176533016,2,3,4,0
16,373,штукатурка,Москва,7,24.48660869213854,1.4223722628255646,22,39,1,2912.3395773030024,8.799629090926182,5,18,2,1
17,100,покраска,Санкт-Петербург,1,10.451198916590966,2.761901491730669,19,20,1,2455.6483317622497,2.977757696977126,6,20,3,1
18,872,покраска,Екатеринбург,8,28.93861132723823,2.9045880356993603,45,31,1,1824.137648135137,6.998291484753404,7,23,2,0
19,664,покраска,Санкт-Петербург,7,1.1472732941281376,4.264474546474785,30,24,0,2801.1191119999694,3.3321732731056697,1,6,3,0
20,131,штукатурка,Санкт-Петербург,1,23.17697180863872,3.718107568163642,52,11,0,3873.112065376499,7.200145435657513,3,10,3,0
21,662,электрика,Екатеринбург,8,28.983934030039293,1.613280714524865,57,24,1,3831.271702226176,4.81148074909105,7,20,4,0
22,309,штукатурка,Санкт-Петербург,2,10.497791996869823,1.9045871329152053,30,25,1,2944.7213074929186,5.267752233049898,2,15,4,1
23,770,электрика,Москва,8,19.61926233983367,2.142700753034747,29,35,1,4880.92433373923,7.164344107278674,6,13,2,0
24,344,покраска,Екатеринбург,3,17.085585870404213,1.4946905498194334,35,15,0,4790.261684381914,1.3356942214986323,2,18,1,0
25,492,уборка,Екатеринбург,10,22.964465635457447,2.1505795454369228,35,13,0,4564.777703035977,2.66345756640224,6,4,2,0
26,414,электрика,Новосибирск,7,26.052248688529044,3.9143926221589322,34,33,1,3025.2937121380164,8.407456231701913,1,11,2,0
27,806,покраска,Санкт-Петербург,6,18.289814794336664,1.9656058804291319,56,23,0,4112.862422988961,7.898125164270182,7,12,3,0
28,386,покраска,Екатеринбург,5,24.56918529825298,4.341438588241546,39,7,1,4751.499357358058,9.902970516167178,1,10,3,1
29,192,электрика,Екатеринбург,11,9.712424488733028,2.8780679805008313,30,26,1,4081.7294146759114,0.22956507283837024,4,0,4,1
30,956,уборка,Москва,10,7.243318231792098,2.2917430449775553,55,38,1,2605.1621820545124,1.4218583237605609,5,2,2,1
31,277,покраска,Новосибирск,11,13.204696841218786,2.6496724181954923,36,12,1,1738.0279727393229,3.373153789179717,7,17,3,0
32,161,электрика,Екатеринбург,2,20.493229687633107,3.8379869623739657,41,28,1,4853.043533466282,6.933979485393672,7,0,1,0
33,460,уборка,Москва,2,6.023784993692347,3.067170812983961,36,30,0,4973.491614827266,3.155438962923708,4,4,2,1
34,314,уборка,Екатеринбург,1,20.570389668480797,1.0291146559002322,38,18,0,3927.7437309270877,3.459658271454762,5,0,4,1
35,22,покраска,Екатеринбург,9,12.125762632875986,4.6892953863403,41,9,0,2603.735461995387,2.2743683757690256,7,1,1,1
36,253,штукатурка,Екатеринбург,11,23.96947057983264,1.2639840120074068,47,39,0,4527.600519412261,9.0959287413192,5,0,3,0
37,748,штукатурка,Москва,8,1.5866566045474475,4.754485395257543,45,33,0,4837.090564227439,5.475545372947518,7,23,3,0
38,857,покраска,Санкт-Петербург,8,20.20548781596714,1.1126112944802187,52,0,1,3272.5501961624286,1.596841695504858,3,7,1,0
39,561,уборка,Екатеринбург,1,19.669758931174048,4.083917339829794,55,18,0,2590.7724563427746,5.8221004208561595,2,12,2,0
40,475,покраска,Екатеринбург,5,28.257596545696774,3.138698832733153,34,0,1,2922.2591040920424,1.5950704293421436,3,0,2,1
41,59,электрика,Санкт-Петербург,6,21.544342830140078,3.022904722416424,51,23,0,1758.4682558860366,2.718487018862067,1,6,4,1
42,511,штукатурка,Екатеринбург,2,23.990905944486794,1.2911140101760181,26,24,0,3479.8381518964006,6.961032593514712,3,2,4,1
43,682,электрика,Новосибирск,10,27.185434967668467,1.9549800413516651,30,3,0,2825.987216847958,7.5817985633485465,3,18,4,1
44,476,покраска,Екатеринбург,5,20.414031589613643,4.110189268260768,31,23,0,4595.892242117128,4.330856422650749,2,1,1,1
45,700,покраска,Новосибирск,6,9.05953223131925,4.565039319689976,43,38,0,2464.433191402255,1.6717295844399782,7,1,1,0
46,976,уборка,Санкт-Петербург,9,26.1583270877139,3.116474724211918,38,19,0,1529.296167329494,2.115319519870927,3,5,2,1
47,783,уборка,Москва,10,22.553554524541266,2.4133735854503815,37,32,1,4080.0690075261896,5.396061276421076,2,20,2,1
48,190,уборка,Санкт-Петербург,1,13.020909318026357,1.2397728322568433,28,27,1,1525.9292291625447,5.8894118912236015,2,21,4,0
49,958,электрика,Екатеринбург,10,21.460610593173882,3.7287141042653618,59,34,0,3410.898866417439,8.686359926559922,2,2,3,0
50,687,уборка,Новосибирск,3,26.09682187684369,2.1137864427451305,52,23,0,2134.406346020967,2.6813863478816247,2,22,3,0
51,958,покраска,Москва,9,29.28173787604251,1.2200548599685872,48,39,0,3636.6770808799615,6.119926750719344,3,9,2,1
52,563,уборка,Екатеринбург,1,28.594369366792133,3.6634069163944885,35,1,1,2192.594952178771,0.02651206293717734,4,3,4,1
53,876,штукатурка,Москва,1,10.097170889542175,2.9428791741350335,31,22,0,3256.5699048077786,4.712450622920777,4,1,4,0
54,567,уборка,Москва,1,12.939964554686362,1.0478485988068957,22,32,0,2672.7410448594733,3.9810503069831373,6,6,1,1
55,244,электрика,Екатеринбург,7,3.7313298468324527,1.4436961564253883,34,13,1,2138.9421440592387,1.2014951026345233,1,19,2,1
56,832,штукатурка,Санкт-Петербург,5,7.802556467032357,3.7968077169837766,38,14,0,3622.6888690231854,8.912380560477875,2,0,3,1
57,505,штукатурка,Екатеринбург,6,26.531425650365033,1.2546853322631542,31,31,1,1787.7652416645817,1.0805913270067224,4,8,1,0
58,131,штукатурка,Екатеринбург,8,11.14507282524109,4.463852259371961,20,22,0,4793.976835917716,2.6545188694466004,1,0,1,0
59,485,электрика,Санкт-Петербург,2,18.80630342854899,2.2453051096797307,48,3,0,4223.453469692389,7.339891700312091,7,0,3,0
60,819,покраска,Новосибирск,2,20.14598574005748,1.3546658817456985,42,19,1,4705.536686145759,1.8073332934882735,3,22,3,1
61,647,уборка,Екатеринбург,3,23.563963616727705,4.039029512672261,34,30,0,1648.6353972070924,0.7677213395979443,6,6,1,0
62,21,штукатурка,Москва,3,5.892600892246113,3.097708937812095,43,6,0,1507.4889707590116,9.693529422661049,7,8,1,1
63,841,штукатурка,Екатеринбург,3,9.491987471125848,2.2265601295171904,34,0,1,2752.7492044795786,2.9353678535020333,1,20,1,1
64,167,штукатурка,Екатеринбург,4,13.725922073016328,2.624393366677072,36,4,1,3658.381884365689,0.6069224546791574,4,15,3,1
65,274,покраска,Москва,3,11.26281130652907,1.0856495824193035,44,13,1,2355.3844411010728,1.4103915403319167,6,17,3,0
66,388,покраска,Санкт-Петербург,2,29.495704369360848,3.650794150157716,24,29,0,3422.6402240581074,2.224562150019209,1,23,1,1
67,601,электрика,Новосибирск,9,25.13075369480452,2.463094755853778,43,37,0,3621.0057005816047,9.583901724616336,1,18,2,1
68,316,покраска,Новосибирск,6,14.650759261304339,3.856150278912519,22,22,0,2030.69448168108,0.16095596965781667,6,13,1,0
69,14,уборка,Москва,3,26.438424469550803,3.5126845838101888,19,6,1,4191.053454878776,7.927932603669441,6,13,1,1
70,242,электрика,Санкт-Петербург,9,10.755761953707255,3.6050167436389517,33,38,1,4777.25700837751,7.80915689746092,1,4,1,1
71,777,электрика,Екатеринбург,4,23.681935554762806,4.1715708440177295,28,15,1,3740.447066462202,4.99632194069607,4,5,4,0
72,346,уборка,Екатеринбург,4,7.098430144140383,3.524632313505004,56,8,0,4817.470733114322,9.329002404126815,6,18,4,0
73,565,уборка,Екатеринбург,8,23.283500334177795,2.67490371696757,40,38,1,2361.4682762158436,0.1343335588477912,2,5,3,1
74,898,уборка,Екатеринбург,7,13.965375394273986,2.5597102469385424,52,33,1,1627.8008931718846,4.9520563363029435,7,4,1,1
75,340,электрика,Екатеринбург,7,3.6712299692711494,1.4783284270594232,23,30,0,2366.024565602839,2.534608239701601,3,10,4,0
76,92,электрика,Москва,10,8.561242409389678,4.117773652624967,54,6,1,3768.38935840315,7.619294994178737,2,6,1,1
77,367,электрика,Екатеринбург,7,12.367101408695156,4.044433767018488,18,1,1,3591.7222231165265,1.7324505224788567,5,9,4,1
78,956,уборка,Екатеринбург,10,22.604140894100894,1.9851934683420938,50,5,1,2435.9198682172932,8.750761558830444,2,17,1,1
79,455,уборка,Санкт-Петербург,11,2.6529900845630503,4.450727650792579,35,33,0,2928.165531150241,4.05476014533385,7,7,4,1
80,428,штукатурка,Екатеринбург,5,19.956636355232867,3.356013031162513,20,16,1,2786.7232910651232,1.35866768377643,6,21,3,1
81,509,покраска,Новосибирск,7,21.622402407518887,2.914747369578269,36,25,0,4826.490117826712,0.3474963579332413,3,0,2,1
82,776,штукатурка,Москва,4,19.790680412809667,1.0699852065019835,27,11,1,2600.1832141482732,6.8945216155888245,7,14,2,1
83,943,уборка,Москва,8,22.93975432594289,2.530964743457265,37,19,1,2175.895026993371,9.284567021337388,1,10,3,1
84,35,электрика,Москва,9,5.75597417267373,3.562683072942652,28,34,0,3479.644264672509,9.698703011639235,2,17,3,0
85,206,уборка,Новосибирск,3,17.819548974359602,1.3589913507535338,49,34,1,1936.883480652794,8.743291103999105,7,2,4,0
86,81,покраска,Екатеринбург,7,28.263775942514457,2.838269235550193,57,28,1,3277.5446060616396,3.895353660288708,4,18,1,0
87,932,штукатурка,Москва,10,18.518135959233863,4.973743805446384,37,37,0,3904.306356492836,9.058593099484183,6,12,1,1
88,562,штукатурка,Новосибирск,9,18.534422235112114,3.86615454883627,49,30,1,4801.420809652571,6.436775981586061,5,18,4,1
89,872,электрика,Санкт-Петербург,1,22.224969442341433,3.1874835500064176,54,39,0,4622.901937564131,0.6331700038259513,1,10,2,1
90,388,штукатурка,Екатеринбург,2,10.329524847712841,3.1321315397563065,39,12,0,4444.255679360191,1.70865073321666,1,4,2,1
91,2,штукатурка,Новосибирск,7,21.164039088985447,1.1750603290327777,21,25,1,2878.5547168639623,3.850850711947266,1,21,1,1
92,390,уборка,Екатеринбург,2,27.528898082739843,4.829257749631744,30,21,0,4628.910165774827,3.062282525907445,2,12,3,0
93,566,штукатурка,Санкт-Петербург,7,0.8214164542476183,4.712710641140172,23,7,0,4008.2361387796454,3.359510505679596,4,2,4,0
94,106,штукатурка,Новосибирск,1,26.168334712711527,3.729618842701786,46,39,1,3045.3446647308665,7.34971915588487,7,19,3,1
95,772,штукатурка,Екатеринбург,3,6.949240772136344,1.3960465987261998,19,6,1,3474.2744399631406,0.5887987011868578,6,22,3,1
96,822,электрика,Новосибирск,5,13.949736574161069,1.8313355869977528,42,4,0,3026.388024243753,6.057873534312344,6,16,2,0
97,477,электрика,Москва,11,25.644260128102818,1.735638143502341,49,0,0,2188.756894609886,3.366407425584784,3,2,2,0
98,703,уборка,Екатеринбург,6,24.805407759970556,3.0783139404048754,43,39,1,3080.9059668504187,8.82407184170477,5,3,4,0
99,402,штукатурка,Новосибирск,9,26.81186060471865,1.8312154980079423,43,10,1,4325.933877295411,0.5716840276206603,4,23,3,1
100,730,электрика,Москва,9,28.24229538265952,3.783202246176793,55,31,0,2433.0581989346956,9.716712209526357,2,0,4,1
101,556,электрика,Санкт-Петербург,3,13.691130224766878,3.180919543877556,39,6,1,3741.191729163532,0.809268481856168,5,6,1,1
102,162,уборка,Екатеринбург,8,19.862732418629705,1.070632708170622,27,28,0,3436.456230848361,4.344736141281724,7,19,1,1
103,202,покраска,Екатеринбург,4,12.019113995520147,3.976228948142606,40,29,1,4720.381134649219,8.570687907334746,4,13,4,1
104,958,штукатурка,Санкт-Петербург,7,10.846143166018893,1.755314946615794,21,20,1,4111.593651549953,3.218983193760594,3,10,3,1
105,996,электрика,Москва,6,13.23206461263125,4.299540478722708,33,38,1,2764.869963496299,8.500866405361128,3,18,2,1
106,270,уборка,Санкт-Петербург,8,22.42074597608894,2.420181748491916,59,38,1,3466.0424015912995,9.63167048665393,1,12,1,1
107,863,уборка,Екатеринбург,6,15.292502040675808,2.354478719926546,50,19,1,4689.242003153648,1.2274619333791081,1,7,3,0
108,816,уборка,Новосибирск,4,24.51476039622609,1.0472693431128421,30,21,0,2292.682054109498,4.772356761420089,3,4,2,1
109,271,электрика,Москва,2,22.4839450772866,4.950915931692069,30,28,0,3160.6916133542923,2.3079429103953153,1,21,3,1
110,456,штукатурка,Москва,7,1.1041146031697802,3.4480173566874552,50,3,1,2275.8821793173447,7.670329382127824,1,17,2,1
111,462,покраска,Москва,11,19.092025634631767,2.6909206647439627,31,2,0,2964.4855067996205,1.0798909680197677,3,13,4,0
112,727,штукатурка,Санкт-Петербург,11,13.378848137603436,1.3864856178453562,25,8,1,1703.7813130143318,7.747493457037438,5,16,2,0
113,252,уборка,Санкт-Петербург,4,13.970555179958676,3.7965922566040673,43,4,0,4565.896558538216,6.754192512098534,6,11,4,1
114,702,уборка,Новосибирск,9,24.64200508916189,2.1309218799677554,39,2,1,4923.860130209052,6.3134209856270305,7,22,1,0
115,296,покраска,Новосибирск,9,16.654435589497965,4.953123273502116,18,24,0,3487.329534143906,4.343107782288023,3,7,2,0
116,725,штукатурка,Москва,7,26.62584379203894,4.802189436597292,33,31,1,3439.2588017373178,5.015754882115576,7,2,3,0
117,720,уборка,Новосибирск,5,21.527764975554867,3.9411867152111544,46,32,0,4845.381866230864,1.0040817213015074,1,5,2,1
118,749,уборка,Санкт-Петербург,3,16.808780258539556,4.8842877211318765,40,17,1,2876.345901917108,2.6988701796045333,7,11,1,1
119,338,штукатурка,Новосибирск,3,22.75887029645756,1.4225354498150513,22,35,0,3673.8178107898025,9.13389645033844,5,16,2,0
120,879,уборка,Санкт-Петербург,9,1.6312970022995155,2.119661442146181,38,28,1,4430.413897430879,4.419733456358332,1,3,4,0
121,53,штукатурка,Новосибирск,9,1.2989678174321282,2.0129731551647163,53,38,1,3270.1044739964796,4.028568391708034,2,1,3,0
122,792,уборка,Екатеринбург,11,2.9588051441651357,1.28805063383721,37,1,0,2275.2433627101113,0.47335131647772477,1,0,3,0
123,922,штукатурка,Санкт-Петербург,4,13.408177091840708,4.888906391885824,25,10,0,4344.455316659098,8.843153211320399,4,18,3,1
124,217,покраска,Екатеринбург,11,7.4457792959948215,1.2398963465875754,43,30,0,2448.9740616383133,7.534081548564943,4,17,4,0
125,764,уборка,Санкт-Петербург,1,29.535708185265644,4.426755615977319,58,3,1,4453.215717608062,0.9164897942748673,6,20,2,1
126,188,покраска,Новосибирск,10,16.497559100835325,4.0726456983073565,42,28,0,4806.145700130428,1.5018875125217135,6,23,2,1
127,380,уборка,Екатеринбург,5,20.041264509394175,2.503468349885838,59,2,0,3411.1738832316933,1.236623668880158,6,1,1,1
128,493,уборка,Новосибирск,8,8.725194019277552,1.075229450519196,24,1,0,1672.5415846487385,6.531949593768173,6,6,2,1
129,41,электрика,Санкт-Петербург,10,9.99300880333446,1.024383619927478,39,35,0,4844.662349143582,1.5890679203378966,6,10,1,0
130,157,штукатурка,Екатеринбург,4,10.396126467164098,1.815975362775693,50,13,1,4409.635076294797,9.95099685529577,1,11,4,1
131,15,покраска,Москва,10,21.112703301933866,2.9755063201351724,22,3,0,1910.757555591642,5.736591816274499,1,18,3,1
132,813,покраска,Новосибирск,10,14.474333126834601,2.8316399127406053,55,29,1,3702.8567135420963,8.701364221226434,2,5,1,0
133,65,покраска,Санкт-Петербург,4,15.771667749637196,3.34117030625971,29,18,1,2604.642701924916,7.3005914103510605,5,8,2,0
134,857,штукатурка,Екатеринбург,9,17.964087973700686,4.087837238643049,31,18,1,2656.15505334325,0.24484565397843716,5,15,3,0
135,839,электрика,Новосибирск,9,23.179943859027404,2.509418459440823,24,30,0,3531.0763668877,4.211311772202677,2,18,4,0
136,521,покраска,Екатеринбург,7,3.1659075811181054,1.6414547820372696,45,14,1,3991.580028756471,3.616214745712223,3,14,1,1
137,344,штукатурка,Новосибирск,10,23.417780410455237,4.200195667313696,33,28,1,1539.3183954880894,9.521883055275529,1,1,4,1
138,129,уборка,Новосибирск,8,17.115434531817804,2.3307627253248433,58,2,0,2034.3547405904837,3.3835456132335673,1,13,3,1
139,648,покраска,Новосибирск,4,20.238315623230086,2.147527591173403,19,18,1,4659.8052069277455,6.874336418609729,4,17,4,0
140,472,покраска,Екатеринбург,8,10.162777062802478,4.057248153716941,48,21,0,3232.4720131816566,5.894797847344906,4,4,3,0
141,63,электрика,Екатеринбург,6,12.57691168608525,4.736557752332578,53,19,0,3221.569165234617,7.3663975279020635,3,5,1,0
142,139,покраска,Новосибирск,3,7.319391679790647,4.6598451280430275,31,6,1,4441.102017653959,0.6127285154727358,5,19,4,0
143,499,покраска,Москва,7,29.389349923813455,1.5497697034287143,45,3,0,1952.8123149089686,9.307883529859541,5,5,2,1
144,593,уборка,Москва,3,15.161587689054342,3.0126326138771984,49,0,1,3997.8250859585637,9.93008419758761,7,19,4,1
145,392,штукатурка,Москва,11,29.884269015999635,1.3714811349126936,45,6,1,3271.789708086457,5.543667517263947,6,11,3,0
146,675,штукатурка,Санкт-Петербург,7,14.948686352807357,4.843903835625599,29,21,1,4095.5610820457296,1.6432641395090164,6,4,4,1
147,419,электрика,Москва,5,6.982662299329986,1.8609115435073575,30,36,0,3877.4356323968364,8.694374942770688,5,6,4,1
148,289,уборка,Екатеринбург,4,15.469845703737272,1.7897182990630989,39,29,0,3832.6954474133786,6.473196608836057,1,21,1,0
149,379,штукатурка,Москва,3,1.6680693680727952,4.555542692025918,59,8,0,4496.132568460427,6.2393662247946535,4,1,3,1
150,773,уборка,Екатеринбург,8,27.190709141947565,4.87140222048786,46,26,0,3427.729809680977,8.849124664574896,6,8,4,0
151,490,штукатурка,Санкт-Петербург,4,24.647232410236015,3.7905290371810265,47,37,1,2927.473750512396,7.314746817573063,6,4,2,1
152,231,уборка,Екатеринбург,8,21.9117053604814,1.4840201347968995,32,22,1,2194.733772001935,9.197660294922702,1,8,1,0
153,41,электрика,Екатеринбург,10,18.48988810555257,2.9434224421626953,57,11,1,2703.918977758479,9.57584143724915,3,20,1,1
154,28,покраска,Екатеринбург,3,17.605109893275714,4.2664203762464155,21,12,0,4544.750170546766,3.4488107946936566,7,18,2,1
155,135,электрика,Москва,10,29.903482315344156,3.2899087348329807,50,32,1,2681.155558455027,1.979134140255192,2,6,1,1
156,201,штукатурка,Новосибирск,9,8.700924303588168,1.5303794189133386,26,14,1,4948.983096581511,3.854538617343172,2,11,3,1
157,840,электрика,Екатеринбург,6,23.500688778284548,1.6875509980129113,55,15,1,3627.9586520106627,9.675079921808955,5,7,2,1
158,780,покраска,Москва,5,17.651440721302894,4.45656670333922,33,33,0,4352.387249577211,1.9140451828985416,7,11,2,1
159,930,электрика,Москва,5,29.288476040887115,3.1081166547499337,43,8,0,3226.414569444722,5.911070435525248,4,4,2,0
160,33,штукатурка,Москва,3,24.920193907298447,3.8233470950668496,44,26,0,3790.940526124251,0.8424985262169937,3,15,3,0
161,48,штукатурка,Новосибирск,2,29.956490833192984,2.492250104932259,28,14,0,4963.355616109884,8.324858315960876,1,8,1,1
162,503,электрика,Новосибирск,6,17.855587336642166,3.129942331675366,43,34,0,3250.9446859562,6.682063508995996,3,2,4,0
163,407,покраска,Новосибирск,11,6.534046747575584,4.908412561550767,31,33,0,2421.7571704335537,5.221102166030347,3,7,1,1
164,574,электрика,Новосибирск,1,15.358767552994648,2.3188121478725523,18,39,1,3774.570412939516,6.299914062241271,3,10,4,0
165,728,покраска,Санкт-Петербург,7,21.47777845449195,3.699154110033098,28,29,1,4718.625422322627,1.170499232213097,7,17,2,0
166,805,уборка,Новосибирск,5,23.343631392356848,1.690022228780919,47,22,1,1560.1951545914937,8.614410450190384,4,9,3,1
167,99,покраска,Новосибирск,4,0.5150446759703353,1.4869595410413332,41,8,1,4973.944614547747,3.4014102331225207,3,0,3,1
168,684,уборка,Новосибирск,9,15.398299110817675,4.134560445036119,21,31,0,3405.919345938277,1.6912320369770384,2,14,4,0
169,872,электрика,Екатеринбург,10,7.4394201091340735,4.376432839948663,39,34,1,4298.055355892611,0.147948701570485,5,22,3,1
170,726,покраска,Екатеринбург,1,26.30989908101626,3.673246781397662,25,31,0,1913.7763745660852,0.6070188592853287,6,9,2,0
171,987,уборка,Новосибирск,11,5.010710599481742,1.6327833501779003,33,15,0,2520.2578840187443,6.716442796727581,6,11,4,0
172,547,уборка,Санкт-Петербург,4,20.160459362457587,1.9623518625701544,50,31,1,4920.057211881507,7.184672288046224,3,20,1,0
173,961,уборка,Екатеринбург,3,8.348834614585282,4.644702832380446,50,24,0,2507.6662861416694,1.4887496017161173,1,22,3,1
174,739,штукатурка,Москва,6,11.017993224821032,2.1548161951990252,27,29,0,2942.752802351539,6.057174453640233,2,18,1,1
175,613,электрика,Екатеринбург,5,28.24649819232692,4.27544206478847,19,36,1,2482.454020425946,4.830150915074448,7,2,3,0
176,943,уборка,Москва,7,7.593219699538344,2.1437491556416064,21,36,1,3139.6365423775014,9.371892061356077,3,0,3,1
177,462,покраска,Екатеринбург,1,3.3025814737764545,4.757850277293738,40,34,1,2056.687360601598,6.652033577525646,4,2,2,0
178,643,уборка,Новосибирск,5,2.543904592604662,4.657811651348013,44,7,1,3280.967062160639,5.2033061346028635,3,0,2,0
179,769,штукатурка,Екатеринбург,2,15.386145747934133,1.1730526945151518,50,39,1,2544.5389066031216,2.8377651594873954,5,3,4,0
180,5,электрика,Новосибирск,2,19.430488727386496,4.081655947469635,50,35,1,4352.939438079565,4.617946351083053,6,20,2,1
181,218,штукатурка,Новосибирск,11,10.155162485341172,1.6778470409376283,58,24,1,2864.173088728222,2.471016811740563,2,9,1,1
182,503,штукатурка,Екатеринбург,11,20.862662382895884,1.861086503625526,37,17,0,4274.521011199791,6.783886077831683,5,14,2,1
183,767,штукатурка,Москва,2,2.300494697910515,2.839380849325903,30,38,0,3746.141179812157,5.940835508768486,5,8,2,1
184,398,покраска,Москва,9,25.791372025224867,3.3052725989978002,28,9,1,4702.8298357175445,2.962785348200633,7,13,3,0
185,871,электрика,Екатеринбург,10,24.588732687307516,2.303198875881968,36,0,0,4337.1840396521875,0.12070802824734272,7,16,2,0
186,795,электрика,Новосибирск,3,29.572140006066526,3.301533462216837,49,3,0,4653.915044439382,9.827852169833006,4,23,1,0
187,393,покраска,Москва,4,28.12689693660444,1.6826334853645464,20,25,0,3339.7473120627583,0.52990715031492,6,19,2,0
188,207,электрика,Санкт-Петербург,5,11.007816335608378,1.0893506175241483,30,10,1,4697.057608926492,5.470122974688941,3,19,4,1
189,15,штукатурка,Новосибирск,4,12.278623828459526,3.2848975534470526,45,14,0,2041.5884072771473,8.520175886813067,7,0,1,0
190,858,электрика,Екатеринбург,4,22.505963000608656,3.0696610398492754,39,31,0,1795.538317843844,6.210754166268484,5,11,2,0
191,554,покраска,Новосибирск,5,4.455441772672004,3.7586158563036998,36,14,1,3341.076438705999,5.869301951676923,2,23,2,1
192,892,штукатурка,Санкт-Петербург,10,9.763433952222629,3.599288247871298,48,27,0,4391.168553650371,7.150994671065418,7,20,3,1
193,461,покраска,Санкт-Петербург,9,3.996957640781624,4.589945520935822,37,22,1,2242.6135157862745,3.0812547687829586,7,18,2,1
194,691,уборка,Москва,9,13.919150247648526,2.8378744806461835,41,2,0,4890.152318547268,3.8964089303204243,3,4,2,1
195,575,штукатурка,Санкт-Петербург,6,16.78412625661687,1.033477898771768,49,31,0,2148.345998223505,0.8452391285905625,5,22,4,0
196,864,штукатурка,Новосибирск,11,6.729233863901196,3.5226107263874162,26,19,0,3980.4488248707466,0.046968455279673416,6,15,2,0
197,743,электрика,Москва,3,1.2856347639660974,3.7005297184128736,36,13,0,4702.919973473874,2.645568183351321,1,8,2,1
198,241,штукатурка,Санкт-Петербург,6,21.72099703664043,3.085979957583879,40,34,0,4878.759515857261,8.142320622927388,7,13,4,0
199,564,покраска,Москва,10,1.090152350571971,3.7572194809648627,42,39,1,3814.9418333324174,6.116035216312187,6,8,2,0
200,96,электрика,Москва,4,29.215376963386507,2.294335252944611,50,8,0,3509.7280529845893,1.3941735687543488,7,13,2,1
201,900,уборка,Екатеринбург,3,7.037414073900666,1.5952332127643167,19,23,1,1818.0137307592508,4.264665628723892,6,13,4,1
202,734,покраска,Москва,6,20.085052717430585,3.6582146558256263,20,3,1,1569.3272545030502,0.19530155432994523,1,6,2,0
203,485,уборка,Москва,11,13.32517592407968,1.9807457168621148,45,11,1,4950.157150737238,8.0226195576604,1,8,3,1
204,407,уборка,Санкт-Петербург,6,2.2603788799446622,2.8252636371368194,54,23,1,2460.285104972141,4.610585090767058,7,11,1,1
205,231,уборка,Новосибирск,2,14.42941639571679,2.9664909224465945,52,0,0,1752.840402955443,2.768908651612172,7,8,1,1
206,749,штукатурка,Новосибирск,9,15.744438711755588,2.908798201873554,31,13,1,3384.6774040620944,7.681325858105479,7,13,2,1
207,655,покраска,Санкт-Петербург,8,25.71315463873962,3.3937965747198233,41,30,1,2594.091346895607,9.703500824841994,5,18,1,1
208,171,покраска,Новосибирск,6,22.104297554612987,1.1178148357034354,54,9,0,2751.578151586469,4.032134779662621,4,20,4,1
209,541,штукатурка,Москва,1,2.839423005224898,4.958729979720353,20,32,0,2738.1719525512012,7.654387428602022,5,1,1,1
210,36,электрика,Екатеринбург,2,6.67029916125182,3.865241895754285,40,35,1,2370.412800719815,3.2127038850286507,2,9,3,1
211,525,уборка,Москва,4,9.700686684340958,2.7015511271950507,51,34,1,4886.879304637092,7.580316284163917,6,14,1,0
