тип_работы,продолжительность_заказа,город,расстояние_от_центра,требуемая_квалификация,сезон,день_недели,время_суток,наличие_бонусов,средняя_температура,количество_доступных_работников,историческая_средняя_цена,уровень_безработицы,средний_рейтинг,цена_за_смену,время_самодобавления
покраска,5,Санкт-Петербург,15.209421666355365,высокая,11,7,17,0,3.909058696356375,88,4163.27950209478,9.83680504828377,3.0429789276948416,3467.6129597506974,0.9601456992989544
покраска,8,Новосибирск,18.450487053626695,низкая,9,4,7,0,14.664348875245828,46,4939.9709299741335,5.420454752749708,3.7610357684300517,5484.2093665089815,2.4546746837300684
покраска,5,Екатеринбург,26.984335013524007,средняя,2,4,6,0,-28.54136558193681,87,3801.2344643490464,0.26418043694410587,4.251874504936535,8435.583274422333,4.483629475420617
уборка,9,Санкт-Петербург,12.342804724564973,средняя,5,3,1,0,5.479631865922983,64,4097.292963003729,3.5010985154248786,2.848998652290896,4479.641398162926,1.019061005464121
уборка,11,Новосибирск,11.861189592117055,низкая,4,6,3,0,-10.584556632632626,94,4928.3243621355905,9.793107685603426,1.9595597943225354,7938.318108740723,0.13698948057908786
штукатурка,6,Екатеринбург,0.6046952600107537,средняя,8,3,22,1,19.197298671365182,49,2869.461530713646,9.02309397058542,1.839584931887003,4622.763846580772,2.152534427265738
штукатурка,8,Екатеринбург,18.59607471487634,низкая,6,6,8,1,0.47667395347966135,21,4384.624797189625,1.5116298892865643,3.316739931466075,2318.1050522545074,2.9099787282695733
уборка,10,Москва,1.3782712685103935,высокая,7,6,15,0,24.214892228751005,53,2898.923848805728,8.550057297117633,2.5570124995165036,2733.1936251444117,3.7613117423354256
покраска,8,Екатеринбург,15.37238044698533,низкая,2,7,18,0,-4.196561591180743,62,2990.7151583334626,6.184108088628385,2.270225040468531,5470.937463049473,0.37443873881014955
покраска,3,Екатеринбург,24.224896776450684,средняя,4,2,9,1,23.760820670329416,81,3803.846597257193,0.21734525424859097,3.091902036584454,4543.102943086229,2.657608732973785
штукатурка,7,Москва,16.72267158033006,низкая,4,6,7,1,16.57296047392147,54,2397.4670536607155,7.574302159222381,3.2256926705583235,5751.616132610144,0.9174956033923067
уборка,7,Москва,8.454266873891942,низкая,12,3,15,1,23.83673014138401,82,4974.736368341404,4.128363431881868,1.9353137060098522,6184.635693790669,2.207329378084508
штукатурка,10,Санкт-Петербург,23.691968432756454,низкая,2,3,7,0,22.80733010908331,3,2652.310483907011,3.9613895584827907,2.5132119354719875,9541.53580916235,4.850065061700942
штукатурка,6,Екатеринбург,8.456651620434897,низкая,10,4,19,0,1.613687201415967,53,1929.9748652146388,3.828000616256836,3.830801511309111,5777.297314100862,4.901223835908701
электрика,7,Санкт-Петербург,22.12443753790401,средняя,4,2,3,1,-6.0740584722778905,12,2628.93919953126,5.965583231560268,2.549593139507199,8859.80567583008,4.928202127335569
электрика,2,Санкт-Петербург,18.502624428111822,высокая,9,5,22,0,19.734414657205363,80,4495.8818060116055,7.142145480046425,2.7764056329913838,8805.586427618471,1.8801390718144226
электрика,9,Новосибирск,5.514890754066036,средняя,8,5,19,1,-6.500935009108947,38,2598.7481319687213,6.476425068819833,3.560109343223974,9099.532334314536,3.5443364306612786
покраска,10,Санкт-Петербург,27.20144930790348,средняя,11,1,12,0,-24.18922292490621,78,3639.7446521959428,2.417619261307812,1.7632182720245213,6303.440504172936,4.376050481768239
уборка,10,Санкт-Петербург,6.418988647237273,высокая,1,4,9,1,25.824902081447206,91,4773.620737883946,7.068022235898707,4.467177336156574,4289.391983388857,2.5778058752065087
уборка,1,Санкт-Петербург,29.69281868714976,средняя,8,1,22,0,-4.18211460401616,18,2409.881197563538,1.3551765113005454,2.353598857346749,8290.01460529931,2.4250345916803178
уборка,1,Санкт-Петербург,0.7156594153207527,высокая,11,2,8,1,-21.38074320040053,84,1959.778648265257,9.713409841239454,3.7506224990957127,4581.4483477964295,3.6390972596449287
уборка,3,Москва,8.27275962571564,высокая,9,7,11,1,12.020992824846758,35,1838.9688745209162,4.7361343462235395,2.1888335803395305,9166.258076235936,2.56385670307426
электрика,3,Екатеринбург,6.395878769588866,низкая,8,5,14,0,27.83526110903489,81,3041.2887014826038,0.9134623462140323,3.592570845483368,2838.77666254016,2.9531502556568863
покраска,1,Новосибирск,0.9128056000286475,средняя,10,7,21,1,25.9627588651838,84,1865.0034591802928,5.766249876459498,2.1093762890912178,7425.241321137642,2.319812250315818
покраска,7,Москва,22.10485305434581,высокая,1,5,0,1,6.039043347168651,70,3088.3294261459523,5.769817023548953,3.992199709727525,5850.2614582039205,3.6842129634859506
электрика,4,Новосибирск,20.956061161938088,средняя,8,5,11,1,-24.27537739387579,90,4519.509287027171,0.38811431164809007,1.4194157227915358,6856.617577570287,4.2637435346101
покраска,10,Новосибирск,23.874353448470448,средняя,12,1,23,1,15.27920032081608,71,4221.193398135211,0.10863440372338218,2.229945014314302,2889.803094188087,2.324507896408451
электрика,2,Москва,8.072607120704674,высокая,5,7,13,0,9.57386550998281,76,3535.9529870428187,9.961022357167606,3.2700245136102057,9770.328279910118,2.5062318498664626
уборка,10,Санкт-Петербург,13.607887428947613,низкая,9,3,21,1,-16.340357968949796,17,4476.478771414084,3.900846337881548,3.5327552618330973,7715.531933458134,4.621409449782714
электрика,5,Москва,19.94384888783565,высокая,9,1,22,0,28.535116660901004,21,1850.9451677616787,2.454555456108264,1.552677174636143,4280.640300450665,2.859410905391664
уборка,6,Новосибирск,13.473170864700236,низкая,6,7,1,1,-24.366597079677263,70,3632.9619358831605,5.47724797081889,2.278136578853209,9115.939689986171,2.427064069003817
уборка,9,Новосибирск,21.071110224378515,высокая,3,5,2,1,-5.752513193939841,47,1904.744798240847,0.08337630546980668,1.407153548428714,5622.748569349479,4.85706323761953
штукатурка,4,Санкт-Петербург,19.202215548993042,высокая,12,4,5,0,-23.85535154676732,37,3187.4879394401514,0.12895054695858166,4.337386592995594,3488.462831013341,0.4254543241942773
электрика,2,Москва,3.882110189154206,низкая,7,4,18,1,29.276415680842916,89,3122.1183208054176,1.1277961255930224,4.934640734081239,5444.96246475974,3.152748101885764
штукатурка,5,Екатеринбург,23.540772071770558,низкая,3,6,20,0,-27.70003160788432,54,2428.043777259319,8.02525330245344,2.135204420544162,4554.548519735825,0.22520376196429998
электрика,3,Новосибирск,21.75995259322929,средняя,7,7,12,1,-2.3252895064425942,15,4404.491231311677,2.482481393036821,2.932459307412338,7667.399781488576,2.2998135058064095
электрика,2,Москва,19.847114434713458,высокая,8,1,19,1,26.015614633792318,11,2298.7968307768106,5.034570326276338,3.0261073795072377,2170.1211281454657,1.689053694452214
штукатурка,1,Санкт-Петербург,5.075261384994569,средняя,5,6,20,1,-13.660147958355392,9,3431.6298618352,2.2362102551889826,1.6578021870397,9041.502248102455,2.229557931249079
штукатурка,10,Санкт-Петербург,8.405895239463227,средняя,5,6,7,1,-23.174202413483314,68,3187.9147076101654,5.448284064729172,3.670446511961101,5458.709053658995,4.524766619740028
электрика,2,Екатеринбург,12.098722431834213,низкая,4,1,3,0,-21.74471844718927,3,3010.782739418328,5.08805478476212,3.067126333410915,2903.4858649928747,2.595105442795378
покраска,6,Новосибирск,8.75792383886508,низкая,3,6,18,1,-3.6792188763402898,13,1617.3975186227685,4.007244317971286,3.0554118546493996,8142.928595954767,2.960919478659958
уборка,8,Екатеринбург,7.220403574945878,средняя,12,2,6,1,-2.1421791459476545,96,3938.5685075517003,4.331979738899174,1.2343254127271268,9906.420887580862,1.7144853962594317
штукатурка,3,Екатеринбург,24.258051269772384,низкая,8,1,6,1,16.675000928373763,6,1544.398701647074,6.533781606339345,1.319677434076001,9221.870614408583,4.927704487978652
уборка,11,Екатеринбург,19.32785126762597,высокая,11,6,0,1,-14.534636835785513,1,4371.915214520644,8.421539212299606,4.85716533156751,3317.633718186664,4.876313013937608
покраска,9,Екатеринбург,17.181427880732386,низкая,6,6,18,0,15.61957917364105,5,2432.38105376975,3.194090598857265,4.758843120124469,3732.8801835463814,4.371561072926895
покраска,9,Санкт-Петербург,7.165604970170989,низкая,6,1,16,1,34.933438638417044,66,1920.0190104217522,5.32145489513659,1.0729119063672083,9901.541245879493,3.5698854150495056
покраска,2,Новосибирск,27.58325858692492,высокая,2,5,7,0,26.17630674053371,86,2959.6423637231555,8.541754171075926,3.161836324940102,3621.9901129141945,2.1972758089472424
штукатурка,8,Екатеринбург,6.13989965337083,низкая,4,6,20,1,11.312332145355455,96,3457.7619239954415,1.6792553357847917,1.2593959901360017,4413.5327796783695,0.7201476707245636
покраска,10,Новосибирск,23.951052518327973,средняя,5,3,14,0,31.094312568451492,41,2586.2693050706193,9.795572404524659,4.172588417171441,6982.693361359372,4.554788753040368
штукатурка,11,Санкт-Петербург,29.016843667806146,средняя,11,5,19,1,34.42209620971411,50,1926.2467053093112,7.506290073151037,1.1970199435859574,4330.822146867242,2.7162155113852307
покраска,5,Санкт-Петербург,21.949235512114964,средняя,10,3,18,0,7.067802938471786,7,1564.145458826327,3.6611321571058077,3.1972524642587583,5050.930852235187,2.852629281436197
уборка,4,Москва,29.789333867946578,низкая,5,5,6,1,-12.214041827773297,21,3963.3463501867486,3.7517905626355463,3.4770826921129947,7930.181183183758,0.6023384592238262
уборка,10,Москва,19.70600795084943,низкая,3,7,23,0,29.473911873874698,81,4602.525277818531,2.053480002637947,1.3842228657076459,6746.494831074466,3.9836487206317095
электрика,5,Новосибирск,6.915080136314902,низкая,10,5,23,0,24.872660413195177,53,1851.8236913791532,2.67915320804639,3.377487391750832,8481.15125405659,2.8064508677711553
уборка,4,Москва,6.512675064637084,средняя,5,2,12,1,-24.50026800224741,20,2307.2181830821482,5.870351049483341,4.766710345067194,8203.852055525165,1.3661390560605804
электрика,8,Екатеринбург,10.074646385536552,низкая,5,6,0,1,30.86435561584519,65,1570.80206121839,0.0373810571944766,1.3893664534615007,8394.162515171407,0.9419538043667768
уборка,4,Новосибирск,0.7103355965196788,высокая,2,7,6,1,-6.195710581662102,32,4597.731823023219,0.23159954645914693,3.738669991170191,3422.6054959543717,3.108363729024194
штукатурка,10,Санкт-Петербург,20.61010486744362,низкая,5,3,4,0,-9.064415925042542,96,3056.5849223378227,9.864767915594424,2.0850128012281477,4055.5825897530813,4.333277484727614
уборка,6,Санкт-Петербург,8.425699646520915,средняя,3,5,17,0,-7.687491784331083,84,4738.1832294864635,2.355299921406102,2.0944645243130915,3460.5667805489493,2.673210136968071
электрика,2,Екатеринбург,24.547905352636207,высокая,3,5,7,1,-9.198809526824888,74,3138.3476561728003,8.295650326756697,3.176503152519377,2981.058886431069,4.317410678777094
электрика,5,Москва,11.095593191499358,высокая,5,3,14,0,3.541636668227625,6,4517.640872258493,6.124011123704758,4.71137186677705,8802.277333159695,1.017782444720077
покраска,6,Новосибирск,14.658716557167725,средняя,9,7,17,1,7.685291915148312,41,4831.147498880515,4.459802467279344,1.922889472457888,2030.5598282358633,2.811613100509665
штукатурка,5,Новосибирск,28.987823038530895,высокая,2,2,5,0,-2.3336965674101755,33,2673.030855927183,7.321804583237233,4.973335650632426,7020.110760518005,2.2615177219003115
уборка,2,Екатеринбург,7.644077629894674,высокая,9,3,4,1,-3.1823677819672724,74,3742.488693145258,0.5002135767838334,1.3658068537800538,8983.061992756304,1.6826378643532076
покраска,7,Москва,21.776995874177317,высокая,3,2,21,0,17.925396650659593,25,3832.4700106498503,7.560785399507424,4.760715750125412,3339.966650617236,0.5907096845993786
уборка,4,Новосибирск,22.775974784509806,высокая,12,7,10,1,-29.803210011934997,24,1574.9305731829445,8.569900254481961,1.0713766017754769,9453.105213012917,1.1103557017391479
уборка,8,Екатеринбург,7.019445646947237,высокая,7,2,7,0,31.5476200010293,95,3033.802076786963,2.8022877924990572,1.648704364204197,9659.804876254635,4.452670662972166
покраска,7,Новосибирск,15.279406680059772,низкая,12,4,8,1,16.43818764885276,93,4493.647439551178,3.016159353356924,4.905544540612565,6646.406524086777,1.8746557836250093
покраска,7,Санкт-Петербург,10.830956796732567,средняя,1,2,12,0,15.97141435792215,12,4811.998418651451,1.0301623376182434,2.0644786579360086,7337.047456911059,4.304044434220427
покраска,9,Новосибирск,23.27123418030263,средняя,1,4,2,1,-2.5723811964419596,37,4647.273058039383,8.55893900671511,1.0284079621443145,3493.0370102362494,4.089200403528259
покраска,1,Новосибирск,18.863257911356605,низкая,8,6,2,0,32.776143406488345,50,4905.142765771385,8.079095455002502,4.540263653381279,9873.140839379346,1.594166376441932
покраска,10,Новосибирск,14.541500118386137,низкая,9,1,6,1,-29.978989940747095,9,3785.6465185857014,4.25211867950117,4.6558927393457274,7915.746134835926,2.4431271628068556
уборка,6,Москва,23.49121631890769,средняя,3,2,2,1,-25.02870834245819,93,2314.797847771286,3.777188891930626,3.9776514623041055,6129.7484702020865,2.3211113532396332
покраска,6,Москва,7.437089315248302,средняя,6,3,10,0,22.26417970422341,67,3513.8375989627775,4.275266414197645,4.758222218554614,6007.835104678759,4.495537922015787
штукатурка,6,Екатеринбург,22.731845477238593,низкая,3,4,13,1,18.015557273756777,4,2974.0038481594875,4.203461392919246,2.062686567930971,6943.826820969604,3.11333224398101
электрика,6,Москва,26.02854220673832,низкая,6,7,20,0,-12.36189274931602,54,2405.284014187624,4.296166610711008,3.581209879299245,3489.546162945425,2.24366984770618
покраска,10,Новосибирск,26.419337105823388,высокая,7,7,9,1,8.659392208364537,85,4204.751506626809,1.4574305246346042,3.9693954418718067,6776.139050510989,2.6452577546777243
покраска,7,Новосибирск,23.61837099407831,низкая,5,1,19,0,4.583435327009511,6,3702.195554707768,0.13477023387119202,4.894416972628523,2559.3383449058347,4.223487725866398
уборка,10,Москва,12.536417926448928,низкая,3,6,8,1,4.2624583699834915,66,4265.364729474239,7.624332090840041,4.592575481678476,6838.365572200554,1.6084106285416448
покраска,6,Москва,29.463336670175895,высокая,8,1,11,0,8.71148478513608,37,2443.2173373585406,3.437497841009536,1.236253437694998,6597.76906667174,2.1386027897447284
покраска,1,Новосибирск,11.698012492761976,высокая,5,2,7,1,34.59279430582494,84,4663.595909664135,4.908888973863341,2.3561987021291917,4860.676932686908,0.7394480342770672
покраска,3,Новосибирск,19.339449273521556,средняя,1,3,11,1,34.177421307861025,45,2335.4980897171013,3.074369572622906,3.4604864856661415,2722.1340797047073,2.883240140820679
уборка,2,Санкт-Петербург,5.251688253049325,средняя,12,2,8,0,33.80931012527262,97,3606.7284482286896,3.8163978682924893,4.421545177245967,6401.1191840965,4.852055133459644
покраска,6,Екатеринбург,29.423242509773587,низкая,9,5,21,0,5.664485411557415,14,1699.1313218990717,0.7486326343911642,2.118639188979488,5499.955688410212,1.7867646712218714
электрика,8,Москва,21.267584695007567,высокая,3,1,17,1,-9.323896961348222,84,3393.374939449882,3.702869270564697,1.0322075441060474,4499.068224436802,4.709712115919316
уборка,3,Екатеринбург,22.724637584767866,высокая,2,5,23,1,6.407152498327854,43,1845.5319343648666,4.631156203311414,1.7478331592598364,5424.081542428525,4.042292212642857
электрика,10,Новосибирск,2.440412750628766,средняя,3,5,16,0,10.474752067535995,66,2662.7521324293384,8.32841049089938,2.7013562640857582,2487.389673285725,3.9829879959172945
уборка,8,Екатеринбург,23.020825519509817,средняя,7,4,10,0,-9.75652553215344,7,4512.4124054415415,3.222053720304313,1.244591071633379,2681.9084005383,3.7384635116695155
покраска,8,Москва,23.35434116200774,низкая,12,7,20,0,11.130434472968034,55,4627.345602991934,0.8854420351145365,1.1693110156614717,3154.625767581351,3.8233339262365917
электрика,5,Москва,20.31729542768578,высокая,11,5,1,1,10.42962778005871,37,4185.544856797054,7.591939074211825,2.6064730033057346,6427.519104999932,1.7516930773428605
уборка,8,Екатеринбург,9.111333606815137,средняя,12,1,22,0,28.72564180155583,76,2786.9632716652713,3.7563551500982486,3.59150237406594,4264.876513528774,4.178061674846891
штукатурка,6,Москва,14.945856243746006,низкая,10,1,20,0,-14.555763540048678,16,3525.529852462416,9.153634638804279,3.842020973743717,3880.9175235429443,4.8713414440868545
покраска,5,Санкт-Петербург,3.757813953607136,низкая,8,3,18,0,15.344638676573261,17,2283.9263823984547,9.590358405586365,3.1312118808379696,7043.887062008194,0.6115541345143793
уборка,9,Новосибирск,14.411818460545001,низкая,2,2,13,1,-0.7005107488812747,95,3874.222183004933,8.718523224925566,2.743493403789435,6774.666400476579,0.7217683130903403
штукатурка,7,Новосибирск,7.692803651711943,средняя,7,3,22,0,-21.5554811452512,71,2715.9105644041047,2.266459854656815,1.0753993023271264,4705.877412027569,0.15687509335170974
уборка,8,Москва,10.79836110157542,средняя,11,3,2,0,-9.448126234630465,90,2273.4951067248835,2.5381007228465693,2.0503589466086174,9497.49968627802,3.540465219996829
штукатурка,1,Новосибирск,5.296712047909109,средняя,5,7,5,0,-26.276992760943113,1,3547.396252649543,7.94122278619136,3.6794993700153493,5185.414692761673,0.4554190346558421
покраска,11,Санкт-Петербург,7.2866038485334625,средняя,9,2,3,0,-9.24336592959838,2,1891.3076697864462,4.461098051753856,2.7982213391938977,3516.3702154114108,2.6571838116893334
электрика,2,Москва,2.758774933693429,средняя,7,1,11,1,-25.5141129270286,95,3903.446432158983,2.978016487096867,2.0564945139606667,9110.05790929219,3.470285478202333
штукатурка,8,Санкт-Петербург,27.637090309889178,высокая,1,4,1,1,30.153928633356884,84,2154.518987250399,2.939078048492566,1.9176692683448295,7617.067320142682,3.0136957956245753
уборка,9,Санкт-Петербург,16.1471152952744,высокая,1,7,5,0,-23.386512815817092,33,3437.093763441165,5.774659848906142,1.0690612129817434,7991.177776661977,3.0755450624059337
покраска,4,Новосибирск,12.203888152250821,высокая,6,5,4,0,23.12718843013299,13,2873.779700832605,8.950301857025135,4.300256102433127,8791.716526587272,4.81112546019168
штукатурка,10,Новосибирск,16.283361776679126,высокая,9,4,4,1,28.898216674018364,65,3481.8564876947376,6.1892685852695415,4.512197324214973,8369.482976230109,1.5764995925696188
уборка,11,Екатеринбург,19.034650240205803,низкая,1,5,7,1,0.3985862696641256,51,2360.8665442082233,6.202799870305876,2.4626861598382424,8782.234914940556,3.1394225830790083
уборка,10,Санкт-Петербург,27.695424404395798,низкая,3,2,4,1,-26.494795959899132,33,2586.362615777998,7.469431078264572,3.805033898548551,3821.302538629927,3.1706424056955314
уборка,9,Новосибирск,5.771442092446243,высокая,5,2,23,1,8.726069422674982,3,1991.1238300735088,7.603003293324049,1.2598475642975453,6926.460423636545,1.4516813325918492
штукатурка,4,Санкт-Петербург,9.21879870973892,средняя,4,3,7,1,-14.740055055830833,60,4219.379759182319,9.094502657276019,4.554935049286966,7405.620952451664,1.584199772123017
штукатурка,10,Екатеринбург,29.285785422151385,высокая,1,6,0,1,-18.517203761322545,83,1745.3920865559348,1.6211220653805292,4.627134200479896,4341.618309064796,3.7300208422766543
штукатурка,10,Санкт-Петербург,11.45019310613147,высокая,10,6,19,0,6.8396528402945265,44,2817.5207939118836,9.84632861239969,1.627367102810004,9954.252957548213,1.6420454743103183
электрика,10,Москва,1.1655686973411652,низкая,4,2,8,0,-6.835144335539955,96,3071.8387636835923,3.2883108393214977,4.122428652064869,8458.095065947145,1.236899089655718
штукатурка,9,Екатеринбург,4.855483032796185,средняя,4,5,13,0,17.47460749502133,5,2183.221741349003,2.8156779834213475,2.8929817652546688,9317.026387266822,4.9198345847575125
штукатурка,11,Екатеринбург,1.2769917015822845,низкая,11,6,1,0,8.431318596369756,47,2846.8756543666796,5.0978687038442425,3.7240805828345174,3216.781672454375,0.5547852972079954
штукатурка,7,Санкт-Петербург,29.702732701411488,средняя,12,4,10,1,23.907182791890683,43,2963.3087738206805,2.6436016797905904,2.8987496686976195,2301.7934922005184,1.6328077619716788
электрика,2,Санкт-Петербург,8.72669004524108,низкая,10,7,3,0,-26.20491886144879,47,2285.156368449795,2.329117204189699,1.3146465857667127,2228.762955659337,4.219440290625912
штукатурка,9,Новосибирск,27.744511329618668,высокая,4,4,3,1,-14.730262092864375,6,3737.395097261199,9.66806738282081,4.360164674607557,8933.670661260954,1.0938720364848133
уборка,4,Москва,29.878645134911615,средняя,3,4,16,1,6.854329461677509,60,1607.989018557843,1.0399421704706568,1.342950566002075,6371.237893186891,1.3602136689209177
штукатурка,8,Екатеринбург,18.19531602372187,низкая,7,6,15,1,27.22783510895524,36,2191.476323437235,9.899429652000078,2.4406083930307396,4461.712247311875,0.8949916703483768
уборка,7,Екатеринбург,1.4792912944340717,высокая,1,7,6,0,22.873058732859135,37,3684.26240011553,6.2247798328021355,4.943836670471084,8444.618414725217,2.967739794695844
уборка,7,Екатеринбург,2.9069530964143455,низкая,2,4,11,1,14.169537030815839,77,3696.346043325322,9.585796516674835,2.7067365199753732,7152.474657839218,0.113015537643495
уборка,8,Новосибирск,14.706877125682393,низкая,1,3,16,0,7.314682299346508,76,2428.4190962125567,8.974009377576124,4.281163469770506,6953.035398497226,4.390926726342633
электрика,1,Москва,12.482074380888836,низкая,4,6,4,1,11.044850405159032,6,3890.6723365138423,6.483992387744904,1.6756950681210392,8380.642888543887,1.9394695296445517
электрика,5,Екатеринбург,18.382230520562146,высокая,5,4,7,0,-16.115496112470325,30,3144.2608528739693,5.898381717056816,4.3202610097771075,5753.490356536531,2.556587711178922
электрика,2,Екатеринбург,13.446010386485236,средняя,11,5,19,1,8.687557188748485,92,3345.3633185856656,9.92631700929034,2.844856953716106,3294.1085321336764,1.3186432099344254
штукатурка,2,Новосибирск,28.05526705350879,низкая,10,3,4,0,2.0945033031028473,10,2664.136271461947,5.152123611865166,3.0397213618873096,9340.94851369269,0.3060025690483807
уборка,1,Санкт-Петербург,16.274821604698577,высокая,5,7,10,1,-5.0117587326227415,28,4944.953125208403,1.787587165014416,4.874618290793437,8922.135036036341,4.815465564589156
электрика,5,Екатеринбург,20.964918813142045,низкая,2,3,18,1,27.702483610787212,6,4080.855294439894,9.929437180099887,4.544549859903505,3989.0518334388416,4.415570673540985
электрика,2,Москва,26.94631554295365,средняя,11,6,20,0,23.912022108560244,73,2369.5046483108435,3.2352301953464613,2.391087080945455,4630.975159297701,1.4539558007739923
штукатурка,4,Москва,4.832720337079618,низкая,3,3,18,1,-25.012182116164315,24,2327.9714785657416,0.874142610792723,4.797629407949474,8561.12705966678,0.586901332788773
электрика,3,Москва,7.277172296496593,высокая,4,2,3,0,34.07241370246024,52,4209.607227216373,7.168932173917815,1.412485102003822,9777.910152672954,2.3057984220122916
штукатурка,3,Москва,3.665900483983444,низкая,10,3,10,0,-15.051026806781215,82,2858.0382218529776,4.4604923163589785,1.104743943361136,8203.511379535796,2.7981238305020337
покраска,2,Новосибирск,4.619332777282413,низкая,6,5,18,1,-16.00293982277631,68,1820.2918433308525,3.8802400586870966,3.130554098188185,2418.848063243811,2.895240522129913
электрика,6,Екатеринбург,15.621227024559877,средняя,6,7,4,0,31.348056010587058,45,1624.5996954460054,6.316080467190073,4.079589002473129,5266.429477846744,4.591797836455505
покраска,2,Новосибирск,9.97478813954019,средняя,12,6,1,0,-1.0878421820365531,87,2948.846058260793,0.5285216176417118,1.8837601704704117,8208.625656846742,3.3976432783106083
штукатурка,8,Москва,12.983598766039268,средняя,2,6,18,0,22.348705733590776,27,2951.478157375677,6.9822199962723275,1.3211790220659814,5727.913648488979,3.119357845468523
